QUESTIONS,ANSWERS
"What's large on Saturday and Sunday. Small on Tuesday, Wednesday, and Thursday, and disappears on Monday and Friday?",S
"What do you fill with empty hands?",Gloves
"Goes over all the hills and hollows. Bites hard, but never swallows.",Frost
"Stealthy as a shadow in the dead of night, cunning but affectionate if given a bite. Never owned but often loved. At my sport considered cruel, but that's because you never know me at all.",Cat
"A red drum which sounds without being touched, and grows silent, when it is touched.",Heart
"My second is performed by my first, and it is thought a thief by the marks of my whole might be caught.",Footstep
"The man who made it didn't need it. The man who bought it didn't use it. The man who used it didn't want it.",Coffin
"A hill full, a hole full, yet you cannot catch a bowl full.",Mist
"I am a box that holds black and white keys without locks. Yet they can unlock your soul.",Piano
"What is often returned, but never borrowed/",Thanks
"A muttered rumble was heard from the pen, and I, in my walking stopped to look in. What was this I saw? A massive beast, hoofed, and jawed. With spikes upon its mighty brow, I watched as he struck the turf and prowled. And yet for all of his magnificence, he couldn't get out of that wooden fence.",Bull
"What word has kst in the middle, in the beginning, and at the end?",Inkstand
"So cold, damp and dark this place. To stay you would refrain, yet those who occupy this place do never complain.",Grave
"What kind of nut is empty at the center and has no shell.",Doughnut
"I have a title and many pages. I am a genteel of genteel descent. I am a killer veteran of war. I am a slave to my lord pledged to his service.",Knight
"Of these things - I have two. One for me - and one for you. And when you ask about the price, I simply smile and nod twice.",Sharing
"At night I come without being fetched. By day I am lost without being stolen.",Stars
"Ripped from my mother's womb. Beaten and burned, I become a blood thirsty killer.",Iron
"I'm very tempting, so its said, I have a shiny coat of red, and my flesh is white beneath. I smell so sweet, taste good to eat, and help to guard your teeth.",Apple
"They made me a mouth, but didn't give me breath. Water gives me life, but the sun brings me death.",Snowman
"I am as simple as a circle. Worthless as a leader, but when I follow a group. Their strength increases tenfold. By myself I am practically nothing. Neither negative or positive.",0
"I saw a man in white, he looked quite a sight. He was not old, but he stood in the cold. And when he felt the sun, he started to run. Who could he be? Please answer me.",Snowman
"We are five little objects of an everyday sort. You will find us all in a tennis court.",Vowels
"What always runs but never walks, often murmurs, never talks. Has a bed but never sleeps, has a mouth but never eats?",River
"I can be cracked, I can be made. I can be told, I can be played.",Joke
"My children are near and far. No matter that I know where they are. The gift I give them make their day. But if I were gone they would wander away.",Sun
"Screaming, soaring seeking sky. Flowers of fire flying high. Eastern art from ancient time. Name me now and solve this rhyme.",Firework
"Who is it that rows quickly with four oars, but never comes out from under his own roof?",Turtle
"Who works when he plays and plays when he works?",Musician
"My first is twice in apple but not once in tart. My second is in liver but not in heart. My third is in giant and also in ghost. Whole I'm best when I am toast.",Pig
"Reaching stiffly for the sky, I bare my fingers when its cold. In warmth I wear an emerald glove and in between I dress in gold.",Tree
"A precious stone, as clear as diamond. Seek it out while the sun's near the horizon. Though you can walk on water with its power, try to keep it, and it'll vanish in an hour.",Ice
"Half-way up the hill, I see you at last, lying beneath me with your sounds and sights. A city in the twilight, dim and vast, with smoking roofs, soft bells, and gleaming lights.",Past
"I heard of a wonder, of words moth-eaten. That is a strange thing, I thought, weird. That a man's song be swallowed by a worm. His blinded sentences, his bedside stand-by rustled in the night - and the robber-guest. Not one wit the wiser. For the words he had mumbled.",Bookworm
"What has a single eye but cannot see?",A needle
"I'm light as a feather, yet the strongest man can't hold me for more than 5 minutes. What am I?",Breath.
"What goes in the water black and comes out red?",A lobster.
"What two things can you never eat for breakfast?",Lunch and dinner.
"What is brown and sticky?",A stick.
"What asks but never answers?",An owl
"What loses its head in the morning and gets it back at night?",A pillow
"What building has the most stories?",A library.
"I occur once in a minute...",The letter 'm'
"I pass before the sun, but make no shadow. What am I?",wind
"Lighter than a feather, but a man cannot hold me for long...",breath
"I have a hundred legs and cannot stand, a long neck but no head, and I eat the maid's life.",broom
